country,iso_code,primary_energy_consumption,RANK
China,CHN,43873.07,1
United States,USA,25945.025,2
India,IND,9584.976,3
Russia,RUS,8745.49,4
Japan,JPN,4983.889,5
Canada,CAN,3843.694,6
Brazil,BRA,3570.67,7
Germany,DEU,3549.456,8
South Korea,KOR,3489.739,9
Iran,IRN,3360.935,10
Saudi Arabia,SAU,2987.546,11
France,FRA,2611.23,12
Mexico,MEX,2219.266,13
Indonesia,IDN,2154.942,14
United Kingdom,GBR,1999.378,15
Turkey,TUR,1934.336,16
Italy,ITA,1760.804,17
Australia,AUS,1592.59,18
Spain,ESP,1542.929,19
Thailand,THA,1390.897,20
South Africa,ZAF,1389.329,21
Taiwan,TWN,1383.62,22
United Arab Emirates,ARE,1309.517,23
Malaysia,MYS,1272.354,24
Poland,POL,1225.888,25
Vietnam,VNM,1206.256,26
Pakistan,PAK,1083.789,27
Egypt,EGY,1053.191,28
Netherlands,NLD,1015.272,29
Argentina,ARG,965.672,30
Ukraine,UKR,934.182,31
Singapore,SGP,910.736,32
Kazakhstan,KAZ,814.746,33
Belgium,BEL,738.394,34
Algeria,DZA,703.068,35
Sweden,SWE,629.977,36
Venezuela,VEN,583.354,37
Iraq,IRQ,577.572,38
Colombia,COL,574.299,39
Norway,NOR,569.09,40
Uzbekistan,UZB,564.146,41
Philippines,PHL,545.707,42
Nigeria,NGA,543.737,43
Qatar,QAT,536.086,44
Bangladesh,BGD,479.475,45
Chile,CHL,476.857,46
Czechia,CZE,466.523,47
Turkmenistan,TKM,449.422,48
Kuwait,KWT,416.789,49
Austria,AUT,403.645,50
Oman,OMN,394.007,51
Romania,ROU,387.261,52
Finland,FIN,319.79,53
Peru,PER,317.34,54
Belarus,BLR,305.647,55
Greece,GRC,302.512,56
Switzerland,CHE,298.709,57
Israel,ISR,290.038,58
Hungary,HUN,283.989,59
Morocco,MAR,268.313,60
Portugal,PRT,266.354,61
Hong Kong,HKG,243.326,62
Bahrain,BHR,235.749,63
New Zealand,NZL,235.487,64
Bulgaria,BGR,221.84,65
Ecuador,ECU,212.212,66
Serbia,SRB,201.689,67
Azerbaijan,AZE,195.682,68
Slovakia,SVK,195.223,69
Libya,LBY,190.409,70
Denmark,DNK,188.206,71
Ireland,IRL,179.475,72
Trinidad and Tobago,TTO,169.428,73
Myanmar,MMR,164.883,74
Laos,LAO,139.941,75
Panama,PAN,117.776,76
Syria,SYR,117.438,77
Tunisia,TUN,116.794,78
Ghana,GHA,114.369,79
Dominican Republic,DOM,111.041,80
Sri Lanka,LKA,106.353,81
Sudan,SDN,105.806,82
Paraguay,PRY,105.801,83
Lebanon,LBN,105.318,84
Ethiopia,ETH,104.837,85
Cuba,CUB,103.891,86
Kenya,KEN,103.504,87
Jordan,JOR,102.376,88
Guatemala,GTM,100.582,89
North Korea,PRK,99.575,90
Croatia,HRV,98.312,91
Angola,AGO,96.311,92
Bolivia,BOL,85.307,93
Puerto Rico,PRI,78.721,94
Georgia,GEO,78.297,95
Slovenia,SVN,76.671,96
Bosnia and Herzegovina,BIH,75.276,97
Mongolia,MNG,75.016,98
Tajikistan,TJK,74.831,99
Mozambique,MOZ,71.892,100
Lithuania,LTU,70.149,101
Cambodia,KHM,66.938,102
Zambia,ZMB,66.576,103
Cote d'Ivoire,CIV,65.14,104
Uruguay,URY,62.759,105
Costa Rica,CRI,61.629,106
Estonia,EST,61.626,107
Kyrgyzstan,KGZ,60.542,108
Iceland,ISL,58.115,109
Tanzania,TZA,57.7,110
Honduras,HND,52.285,111
Netherlands Antilles,ANT,50.216,112
Armenia,ARM,49.357,113
Moldova,MDA,49.004,114
Nepal,NPL,48.285,115
Brunei,BRN,45.994,116
El Salvador,SLV,44.682,117
Cameroon,CMR,43.344,118
Luxembourg,LUX,43.275,119
Latvia,LVA,42.399,120
Senegal,SEN,42.28,121
Zimbabwe,ZWE,42.145,122
Albania,ALB,40.253,123
Democratic Republic of Congo,COD,39.402,124
Malta,MLT,39.15,125
Yemen,YEM,35.621,126
Uganda,UGA,35.163,127
Jamaica,JAM,34.599,128
Benin,BEN,32.295,129
Cyprus,CYP,29.842,130
Nicaragua,NIC,29.219,131
North Macedonia,MKD,28.287,132
Afghanistan,AFG,27.135,133
Mauritius,MUS,25.621,134
Mali,MLI,25.597,135
Botswana,BWA,24.293,136
Namibia,NAM,22.134,137
Bhutan,BTN,21.603,138
Papua New Guinea,PNG,21.128,139
Palestine,PSE,20.529,140
