country,population,gdp_per_capita,energy_per_capita
Brazil,214326224,13835.92472424653,1.6659977175728156E-5
Canada,38155012,43753.138975713075,1.0073890161533693E-4
China,1425893504,12729.9971308264,3.076882661778365E-5
France,64531448,40006.444668280186,4.0464456957482186E-5
Germany,83408560,46589.47851760059,4.2555056699216484E-5
India,1407563904,6277.340219829905,6.809620488818673E-6
Indonesia,273753184,11234.412186767478,7.87184268877764E-6
Iran,87923432,15911.525649089766,3.8225703018508196E-5
Japan,124612528,39057.15316816299,3.999508781332163E-5
Mexico,126705136,15836.76709957519,1.7515201593722294E-5
Russia,145102752,24902.425418147825,6.027101401908628E-5
Saudi Arabia,35950396,46657.02729994963,8.310189406536718E-5
South Korea,51830136,37784.81505261727,6.733030760328316E-5
Tanzania,63588332,2548.4629098306905,9.073991750562038E-7
United Kingdom,67281040,37755.21640497828,2.9716811749640018E-5
United States,336997632,53830.18779896946,7.698874572507383E-5
