country,year,iso_code,population,gdp,biofuel_consumption,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_consumption,coal_electricity,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_per_gdp,fossil_electricity,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_consumption,gas_electricity,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_consumption,hydro_electricity,hydro_share_elec,hydro_share_energy,low_carbon_consumption,low_carbon_electricity,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_consumption,nuclear_electricity,nuclear_share_elec,nuclear_share_energy,oil_consumption,oil_electricity,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_consumption,renewables_electricity,renewables_share_elec,renewables_share_energy,solar_consumption,solar_electricity,solar_share_elec,solar_share_energy,wind_consumption,wind_electricity,wind_share_elec,wind_share_energy
World,1990,,5316175872,43018245636096.0,106.643,,,0.112,,25906.625,4460.242,26344.955,37.29,27.098,,11960.959,12.511,2.222,7614.629,83064.32,63.662,86.883,19481.125,1789.703,19697.166,14.963,20.377,,6383.708,2158.854,18.049,6.677,12540.152,4280.688,35.789,13.117,,,5676.721,2000.596,16.726,5.938,37676.57,1364.684,36726.777,11.409,39.409,361.191,117.217,,0.98,,0.378,2249.918,95604.477,6863.432,2280.092,19.063,7.179,1.148,0.388,0.003,0.001,10.741,3.632,0.03,0.011
World,1991,,5406245888,,110.729,,,0.115,,25658.182,4557.066,25628.816,37.286,26.651,,12222.055,12.695,,7722.218,83294.062,63.183,86.517,19972.84,1815.244,19959.689,14.852,20.746,,6531.108,2208.702,18.071,6.784,12980.537,4431.857,36.261,13.483,,,5948.311,2096.31,17.152,6.178,37663.043,1349.907,36627.695,11.045,39.12,376.813,122.254,,1.0,,0.391,2260.729,96274.602,7032.226,2335.548,19.109,7.304,1.494,0.505,0.004,0.002,12.083,4.086,0.033,0.013
World,1992,,5492686336,,108.796,,,0.112,,25558.422,4649.917,25572.445,37.694,26.397,,12335.947,12.741,,7807.52,83769.078,63.291,86.519,20063.484,1829.387,20018.342,14.83,20.722,,6530.39,2208.459,17.903,6.745,13052.807,4457.032,36.13,13.481,,,5993.463,2112.223,17.123,6.19,38147.168,1328.216,37157.977,10.767,39.399,404.781,131.15,,1.063,,0.418,2245.886,96821.883,7059.343,2344.809,19.008,7.291,1.38,0.467,0.004,0.001,13.995,4.733,0.038,0.014
World,1993,,5577433600,,114.444,,,0.117,,25688.932,4727.899,24802.262,37.525,26.323,,12599.479,12.911,,7858.33,83915.758,62.37,85.988,20265.482,1863.815,20246.297,14.793,20.766,,6923.671,2341.46,18.584,7.095,13674.736,4668.157,37.05,14.012,,,6199.87,2184.965,17.342,6.353,37961.344,1266.615,37105.148,10.053,38.899,418.239,135.472,,1.075,,0.429,2259.01,97590.492,7474.867,2483.192,19.709,7.659,1.646,0.557,0.004,0.002,16.867,5.704,0.045,0.017
World,1994,,5660727808,,124.175,,,0.126,,25788.928,4891.904,25371.623,37.853,26.095,,12923.583,13.077,,8119.123,84960.594,62.824,85.97,20389.613,1925.1,20542.52,14.896,20.632,,6967.267,2356.203,18.232,7.05,13865.196,4730.579,36.604,14.03,,,6316.248,2225.979,17.224,6.391,38782.055,1302.119,37619.203,10.076,39.243,434.653,140.668,,1.088,,0.44,2283.025,98825.789,7548.948,2504.6,19.38,7.639,1.765,0.597,0.005,0.002,21.088,7.132,0.055,0.021
World,1995,,5743219712,,131.202,,,0.13,,25966.357,5038.932,26146.615,37.655,25.689,,13381.884,13.239,,8335.259,86531.617,62.288,85.609,21104.494,2036.382,20883.502,15.217,20.879,,7344.235,2483.687,18.56,7.266,14546.254,4961.759,37.078,14.391,,,6590.213,2322.53,17.356,6.52,39460.77,1259.945,38135.512,9.415,39.04,454.255,146.631,,1.096,,0.449,2330.032,101077.875,7956.042,2639.229,19.722,7.871,1.889,0.639,0.005,0.002,24.461,8.272,0.062,0.024
World,1996,,5825145344,,125.913,,,0.121,,26584.988,5279.661,26501.201,38.266,25.569,,13797.191,13.27,,8626.951,89078.883,62.527,85.676,22159.256,2101.594,21899.965,15.232,21.313,,7442.831,2517.03,18.243,7.158,14893.196,5084.252,36.85,14.324,,,6828.806,2406.615,17.443,6.568,40334.641,1245.696,39151.238,9.029,38.794,466.329,150.693,,1.092,,0.449,2368.557,103972.078,8064.391,2677.637,19.407,7.756,2.068,0.699,0.005,0.002,27.25,9.216,0.067,0.026
World,1997,,5906481152,,130.183,,,0.124,,26540.139,5395.626,26889.982,38.189,25.265,,14128.649,13.45,,8911.334,90023.977,63.073,85.698,22030.393,2271.062,21882.973,16.074,20.972,,7573.911,2561.359,18.129,7.21,15023.662,5125.602,36.278,14.302,,,6781.843,2390.064,16.916,6.456,41453.445,1244.647,40023.199,8.809,39.462,499.942,161.401,,1.142,,0.476,2392.059,105047.641,8241.819,2735.538,19.362,7.846,2.217,0.75,0.005,0.002,35.567,12.028,0.085,0.034
World,1998,,5987312640,,133.54,,,0.126,,26372.479,5511.293,26406.455,37.98,24.948,,14511.02,13.727,,9214.456,90476.656,63.5,85.589,22433.998,2408.548,22462.334,16.598,21.222,,7632.345,2581.12,17.787,7.22,15234.49,5197.263,35.816,14.411,,,6898.552,2431.195,16.754,6.526,41670.18,1294.615,41034.707,8.922,39.419,520.55,168.206,,1.159,,0.492,2423.628,105711.148,8335.938,2766.068,19.062,7.886,2.401,0.812,0.006,0.002,47.103,15.929,0.11,0.045
World,1999,,6067758592,,135.431,,,0.126,,26485.373,5630.859,26415.219,37.725,24.629,,14925.883,13.88,,9498.269,91940.5,63.636,85.495,23071.902,2600.75,23102.752,17.424,21.455,,7690.094,2600.65,17.424,7.151,15598.168,5323.124,35.664,14.505,,,7161.052,2523.706,16.908,6.659,42383.219,1266.66,40104.688,8.486,39.412,546.146,176.636,,1.183,,0.508,2459.868,107538.664,8437.115,2799.418,18.755,7.846,2.677,0.905,0.006,0.002,62.768,21.227,0.142,0.058
