year,PRIM_ENERGY_CONS
1990,94762.63
1991,95531.11
1992,96604.67
1993,97426.49
1994,98706.89
1995,101034.98
1996,103924.71
1997,104994.93
1998,105593.14
1999,107513.06
2000,110397.99
2001,111476.55
2002,113880.28
2003,117901.2
2004,123710.62
2005,127836.38
2006,131628.22
2007,135648.38
2008,137263.93
2009,134974.75
2010,141493.43
2011,144777.52
2012,146849.98
2013,149483.71
2014,151086.04
2015,152190.5
2016,154067.05
2017,157158.84
2018,161441.56
2019,163203.6
2020,157378.06
2021,165733.73
2022,164710.98
